TotalDisplacement 3348653
MaxDisplacement 389
NumCells 210904
c207687 1410 3891
c209959 1411 7515
c16340 1413 5319
c13903 1375 5307
c210110 1401 5535
c161912 1405 10815
c16278 1414 4623
c20493 1412 4119
c17001 1411 5343
c151929 1411 5523
c209766 1403 4635
c7468 1409 4587
c13684 1351 5211
c13665 1382 5103
c161422 1412 10923
c17969 1413 3879
c17069 1395 5031
c14788 1402 4503
c14394 1413 4659
c162148 1413 10695
c16510 1416 5355
c16059 1401 4599
c16043 1383 5307
c151767 1402 5679
c17057 1411 5487
c210116 1414 6003
c14323 1410 5175
c210113 1414 6411
c14334 1415 3975
c13676 1412 5235
c2953 1415 4791
c16549 1407 5415
c17100 1415 5271
c20490 1411 4059
c16699 1415 5115
c160599 1394 10827
c209898 1416 5523
c16470 1359 5211
c13543 1416 4155
c209885 1386 5019
c151387 1416 5979
c17077 1401 5367
c13912 1429 5355
c13899 1420 5235
c207885 1386 5295
c151028 1399 5427
c13896 1399 5295
c209807 1418 7083
c209945 1418 6483
c20488 1418 4191
c14410 1418 4695
c17147 1418 5247
c207682 1412 3939
c16637 1407 5295
c16269 1418 4587
c16060 1419 4551
c16984 1372 5211
c16276 1420 3903
c13997 1408 5463
c13977 1422 5343
c151186 1414 6039
c14390 1419 4815
c209999 1420 6531
c17054 1420 5415
c14786 1421 4431
c160812 1424 11043
c13666 1411 5163
c2957 1424 4647
c151800 1422 5619
c53635 1405 4023
c151977 1423 5499
c13335 1422 4299
c14411 1413 4635
c161680 1422 10875
c7465 1427 4623
c16280 1423 4491
c13695 1426 5199
c14663 1423 4359
c162529 1423 10947
c7467 1436 4623
c160657 1423 11031
c17138 1424 5187
c14427 1422 4839
c17448 1424 4851
c129109 1424 7707
c150904 1424 5931
c151007 1431 5415
c14093 1424 4719
c161885 1425 10647
c14674 1418 4035
c16257 1426 4059
c150854 1425 5775
c151491 1411 5535
c160575 1425 10899
c14097 1425 4863
c18853 1426 4503
c13553 1425 3939
c16646 1424 5139
c16045 1378 5223
c207961 1426 5007
c16275 1433 3939
c151055 1422 5487
c20927 1403 4167
c14331 1403 5307
c17668 1426 4047
c18143 1427 4683
c16996 1427 5055
c15509 1427 4467
c13672 1427 5067
c13668 1427 5127
c151458 1423 6219
c16258 1431 4059
c15940 1408 4443
c14341 1427 3891
c20918 1428 4143
c16491 1400 5151
c7462 1393 4827
c151053 1405 5439
c151032 1420 5439
c15712 1428 5259
c16503 1358 5403
c150764 1430 6039
c14792 1433 4611
c14407 1431 4587
c160419 1429 11055
c14226 1419 5163
c209772 1387 5391
c150791 1429 6027
c16062 1429 4671
c13701 1427 5115
c210543 1430 6195
c150903 1430 5991
c17070 1430 5331
c210002 1424 6507
c209944 1416 5463
c18116 1430 4875
c13991 1412 5379
c13975 1411 5451
c16672 1371 5403
c2956 1423 4755
c2955 1431 4575
c151481 1426 5463
c150825 1424 5823
c151114 1413 6171
c160424 1432 11067
c151979 1432 5511
c14415 1407 4935
c151446 1432 5643
c151955 1432 5559
c15964 1432 4371
c14777 1435 4503
c151026 1429 5607
c161750 1433 10503
c16037 1412 5151
c18823 1433 4971
c16998 1423 5319
c17123 1436 5139
c16923 1434 4995
c151844 1434 6051
c16284 1434 4335
c151224 1431 5811
c209886 1412 5367
c13594 1437 5487
c151088 1418 5679
c14387 1434 4899
c16817 1397 5391
c16030 1362 5091
c18152 1415 4539
c203251 1435 3507
c17098 1439 5175
c162119 1429 10767
c151062 1419 5451
c15877 1410 4947
c14671 1442 4035
c16252 1418 4263
c17051 1443 5163
c209899 1436 5751
c16695 1398 5223
c151226 1436 5667
c16509 1439 5355
c14661 1420 4443
c151003 1424 5535
c16355 1434 5343
c151046 1434 5451
c160663 1437 10947
c16488 1437 5067
c14312 1383 5211
c18151 1442 4635
c17666 1429 4239
c16266 1434 4227
c151234 1435 5739
c15999 1439 4731
c15525 1438 4563
c128688 1415 6675
c17099 1410 5223
c161742 1436 10623
c16969 1414 5283
c210106 1445 5607
c150855 1437 5943
c13773 1415 5295
c16649 1420 5379
c17676 1421 4311
c150939 1439 5931
c20489 1438 4095
c18837 1416 4455
c151946 1435 5547
c13545 1439 4011
c209784 1434 7671
c16254 1432 4251
c161420 1440 11007
c17091 1423 5475
c13974 1436 5439
c14406 1431 4779
c16622 1428 5235
c18137 1435 5115
c160572 1437 10839
c161417 1439 11019
c14666 1444 4251
c17664 1443 4239
c151499 1427 5367
c150998 1439 5463
c209986 1434 6675
c14241 1382 5091
c14398 1447 4755
c209971 1434 7479
c151044 1433 5523
c17844 1428 4455
c16677 1431 5271
c13566 1421 4599
c160864 1445 10767
c151076 1445 5487
c15941 1431 4599
c16002 1442 4887
c14096 1402 4827
c17725 1434 5319
c151029 1443 5547
c16678 1440 5367
c18158 1442 3867
c16816 1408 5391
c13774 1447 5343
c13916 1445 5379
c154831 1442 9747
c16539 1427 5295
c13598 1434 5475
c14392 1443 4815
c209804 1439 7779
c151801 1448 5739
c19123 1447 4227
c18130 1390 5103
c151585 1443 5631
c16715 1443 5499
c13944 1440 5235
c151962 1444 5667
c16469 1384 5403
c151930 1441 5583
c20912 1446 4299
c16468 1445 4623
c18159 1444 3879
c16502 1444 5271
c16508 1419 5391
c151389 1445 6123
c13565 1440 4551
c16010 1422 4947
c128686 1436 6699
c13917 1450 5175
c14307 1449 5115
c15700 1438 4215
c151856 1436 5619
c18905 1439 5199
c161893 1425 10815
c154772 1447 9783
c209796 1434 7371
c151925 1445 5595
